id_instruction	token	type_token	type_instruction	position_operateur
0	%	trivial	MTdV	-
1	x	variable	affectation	G
1	=	operateur	affectation	M
1	0	valeur	affectation	D
2	x	variable	affectation	G
2	=	operateur	affectation	M
2	x	variable	affectation	D
2	+	operateur	affectation	D
2	1	valeur	affectation	D
3	y	variable	affectation	G
3	=	operateur	affectation	M
3	x	variable	affectation	D
3	*	operateur	affectation	D
3	2	valeur	affectation	D
4	boucle	trivial	MTdV	-
4	si	complexe	si	-
4	x	variable	test	G
4	==	operateur	test	M
4	y	variable	test	D
4	fin	trivial	MTdV	-
5	}	trivial	MTdV	-
6	x	variable	affectation	G
6	=	operateur	affectation	M
6	y	variable	affectation	D
7	}	trivial	MTdV	-
8	#	trivial	MTdV	-